category_id,coin_id,year,variable,value
stablecoins,paxos-standard,2021,indice_estabilidad,5.91
stablecoins,usd-coin,2021,indice_estabilidad,7.78
stablecoins,dai,2021,indice_estabilidad,8.13
stablecoins,tether,2021,indice_estabilidad,10.0
stablecoins,pax-gold,2022,indice_estabilidad,1.13
stablecoins,stasis-eurs,2022,indice_estabilidad,1.49
stablecoins,bilira,2022,indice_estabilidad,1.47
stablecoins,gemini-dollar,2022,indice_estabilidad,2.58
stablecoins,paxos-standard,2022,indice_estabilidad,4.44
stablecoins,binance-usd,2022,indice_estabilidad,6.69
stablecoins,usd-coin,2022,indice_estabilidad,7.04
stablecoins,true-usd,2022,indice_estabilidad,7.02
stablecoins,dai,2022,indice_estabilidad,8.13
stablecoins,tether,2022,indice_estabilidad,10.0
stablecoins,pax-gold,2023,indice_estabilidad,1.51
stablecoins,stasis-eurs,2023,indice_estabilidad,1.49
stablecoins,bilira,2023,indice_estabilidad,1.47
stablecoins,gemini-dollar,2023,indice_estabilidad,2.58
stablecoins,usd-coin,2023,indice_estabilidad,5.58
stablecoins,paxos-standard,2023,indice_estabilidad,4.8
stablecoins,dai,2023,indice_estabilidad,6.29
stablecoins,true-usd,2023,indice_estabilidad,7.4
stablecoins,tether,2023,indice_estabilidad,9.27
stablecoins,binance-usd,2023,indice_estabilidad,9.62
